...1,alternative.id,container.title,created,deposited,published.print,doi,indexed,issn,issue,issued,member,page,prefix,publisher,score,source,reference.count,references.count,is.referenced.by.count,subject,title,type,update.policy,url,volume,abstract,language,short.container.title,published.online,paper
33,10.1128/AAC.00692-06,Antimicrobial Agents and Chemotherapy,6/26/06,2/21/22,2006-07,10.1128/aac.00692-06,10/21/22,"0066-4804,1098-6596",7,2006-07,235,2592-2592,10.1128,American Society for Microbiology,0.9980189,Crossref,0,0,1,"Infectious Diseases,Pharmacology (medical),Pharmacology","Evidence for Multiple-Antibiotic Resistance in
            <i>Campylobacter jejuni</i>
            Not Mediated by CmeB or CmeF",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aac.00692-06,50,NA,en,Antimicrob Agents Chemother,NA,https://journals.asm.org/doi/10.1128/aac.00692-06
53,10.1128/AAC.47.2.704-708.2003,Antimicrobial Agents and Chemotherapy,1/23/03,2/21/22,2003-02,10.1128/aac.47.2.704-708.2003,2/12/23,"0066-4804,1098-6596",2,2003-02,235,704-708,10.1128,American Society for Microbiology,0.9965738,Crossref,26,26,99,"Infectious Diseases,Pharmacology (medical),Pharmacology","Efflux Pump Lde Is Associated with Fluoroquinolone Resistance in
            <i>Listeria monocytogenes</i>",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aac.47.2.704-708.2003,47,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Five
            <jats:italic>Listeria monocytogenes</jats:italic>
            isolates (CLIP 21369, CLIP 73298, CLIP 74811, CLIP 75679, and CLIP 79372) were found to be resistant to fluoroquinolones during the screening for antibiotic resistance of 488
            <jats:italic>L. monocytogenes</jats:italic>
            isolates from human cases of listeriosis in France. On the basis of a fourfold or greater decrease in the ciprofloxacin MIC in the presence of reserpine, fluoroquinolone resistance was attributed to active efflux of the drugs. The
            <jats:italic>lde</jats:italic>
            gene (
            <jats:italic>Listeria</jats:italic>
            drug efflux; formerly
            <jats:italic>lmo2741</jats:italic>
            ) encodes a 12-transmembrane-segment putative efflux pump belonging to the major facilitator superfamily of secondary transporters that displayed 44% identity with PmrA from
            <jats:italic>Streptococcus pneumoniae</jats:italic>
            . Insertional inactivation of the
            <jats:italic>lde</jats:italic>
            gene in CLIP 21369 indicated that the corresponding protein was responsible for fluoroquinolone resistance and was involved in the level of susceptibility to dyes such as ethidium bromide and acridine orange.
          </jats:p>",en,Antimicrob Agents Chemother,NA,https://journals.asm.org/doi/10.1128/aac.47.2.704-708.2003
61,10.1128/AAC.01139-16,Antimicrobial Agents and Chemotherapy,8/16/16,2/21/22,2016-11,10.1128/aac.01139-16,12/17/22,"0066-4804,1098-6596",11,2016-11,235,6460-6470,10.1128,American Society for Microbiology,0.99600893,Crossref,79,79,27,"Infectious Diseases,Pharmacology (medical),Pharmacology","Stringent Response Factors PPX1 and PPK2 Play an Important Role in Mycobacterium tuberculosis Metabolism, Biofilm Formation, and Sensitivity to Isoniazid
            <i>In Vivo</i>",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aac.01139-16,60,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Mycobacterium tuberculosis</jats:named-content>
            remains a global health threat largely due to the lengthy duration of curative antibiotic treatment, contributing to medical nonadherence and the emergence of drug resistance. This prolonged therapy is likely due to the presence of
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">M. tuberculosis</jats:named-content>
            persisters, which exhibit antibiotic tolerance. Inorganic polyphosphate [poly(P)] is a key regulatory molecule in the
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">M. tuberculosis</jats:named-content>
            stringent response mediating antibiotic tolerance. The polyphosphate kinase PPK1 is responsible for poly(P) synthesis in
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">M. tuberculosis</jats:named-content>
            , while the exopolyphosphatases PPX1 and PPX2 and the GTP synthase PPK2 are responsible for poly(P) hydrolysis. In the present study, we show by liquid chromatography-tandem mass spectrometry that poly(P)-accumulating
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">M. tuberculosis</jats:named-content>
            mutant strains deficient in
            <jats:italic>ppx1</jats:italic>
            or
            <jats:italic>ppk2</jats:italic>
            had significantly lower intracellular levels of glycerol-3-phosphate (G3P) and 1-deoxy-xylulose-5-phosphate. Real-time PCR revealed decreased expression of genes in the G3P synthesis pathway in each mutant. The
            <jats:italic>ppx1</jats:italic>
            -deficient mutant also showed a significant accumulation of metabolites in the tricarboxylic acid cycle, as well as altered arginine and NADH metabolism. Each poly(P)-accumulating strain showed defective biofilm formation, while deficiency of
            <jats:italic>ppk2</jats:italic>
            was associated with increased sensitivity to plumbagin and meropenem and deficiency of
            <jats:italic>ppx1</jats:italic>
            led to enhanced susceptibility to clofazimine. A DNA vaccine expressing
            <jats:italic>ppx1</jats:italic>
            and
            <jats:italic>ppk2</jats:italic>
            , together with two other members of the
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">M. tuberculosis</jats:named-content>
            stringent response,
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">M. tuberculosis</jats:named-content>
            <jats:italic>rel</jats:italic>
            and
            <jats:italic>sigE</jats:italic>
            , did not show protective activity against aerosol challenge with
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">M. tuberculosis</jats:named-content>
            , but vaccine-induced immunity enhanced the killing activity of isoniazid in a murine model of chronic tuberculosis. In summary, poly(P)-regulating factors of the
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">M. tuberculosis</jats:named-content>
            stringent response play an important role in
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">M. tuberculosis</jats:named-content>
            metabolism, biofilm formation, and antibiotic sensitivity
            <jats:italic>in vivo</jats:italic>
            .
          </jats:p>",en,Antimicrob Agents Chemother,NA,https://journals.asm.org/doi/10.1128/aac.01139-16
75,10.1128/AAC.50.1.185-195.2006,Antimicrobial Agents and Chemotherapy,12/23/05,2/21/22,2006-01,10.1128/aac.50.1.185-195.2006,2/17/23,"0066-4804,1098-6596",1,2006-01,235,185-195,10.1128,American Society for Microbiology,0.9950459,Crossref,36,36,135,"Infectious Diseases,Pharmacology (medical),Pharmacology","Two Cathelicidin Genes Are Present in both Rainbow Trout (
            <i>Oncorhynchus mykiss</i>
            ) and Atlantic Salmon (
            <i>Salmo salar</i>
            )",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aac.50.1.185-195.2006,50,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Further to the previous finding of the rainbow trout
            <jats:italic>rt</jats:italic>
            CATH_1 gene, this paper describes three more cathelicidin genes found in salmonids: two in Atlantic salmon, named
            <jats:italic>as</jats:italic>
            CATH_1 and
            <jats:italic>as</jats:italic>
            CATH_2, and one in rainbow trout, named
            <jats:italic>rt</jats:italic>
            CATH_2. All the three new salmonid cathelicidin genes share the common characteristics of mammalian cathelicidin genes, such as consisting of four exons and possessing a highly conserved preproregion and four invariant cysteines clustered in the C-terminal region of the cathelin-like domain. The
            <jats:italic>as</jats:italic>
            CATH_1 gene is homologous to the rainbow trout
            <jats:italic>rt</jats:italic>
            CATH_1 gene, in that it possesses three repeat motifs of TGGGGGTGGC in exon IV and two cysteine residues in the predicted mature peptide, while the
            <jats:italic>as</jats:italic>
            CATH_2 gene and
            <jats:italic>rt</jats:italic>
            CATH_2 gene are homologues of each other, with 96% nucleotide identity. Salmonid cathelicidins possess the same elastase-sensitive residue, threonine, as hagfish cathelicidins and the rabbit CAP18 molecule. The cleavage site of the four salmonid cathelicidins is within a conserved amino acid motif of QKIRTRR, which is at the beginning of the sequence encoded by exon IV. Two 36-residue peptides corresponding to the core part of
            <jats:italic>rt</jats:italic>
            CATH_1 and
            <jats:italic>rt</jats:italic>
            CATH_2 were chemically synthesized and shown to exhibit potent antimicrobial activity.
            <jats:italic>rt</jats:italic>
            CATH_2 was expressed constitutively in gill, head kidney, intestine, skin and spleen, while the expression of
            <jats:italic>rt</jats:italic>
            CATH_1 was inducible in gill, head kidney, and spleen after bacterial challenge. Four cathelicidin genes have now been characterized in salmonids and two were identified in hagfish, confirming that cathelicidin genes evolved early and are likely present in all vertebrates.
          </jats:p>",en,Antimicrob Agents Chemother,NA,https://journals.asm.org/doi/10.1128/aac.50.1.185-195.2006
79,10.1128/AAC.00302-07,Antimicrobial Agents and Chemotherapy,7/17/07,2/21/22,2007-09,10.1128/aac.00302-07,2/20/23,"0066-4804,1098-6596",9,2007-09,235,3217-3224,10.1128,American Society for Microbiology,0.99478793,Crossref,31,31,30,"Infectious Diseases,Pharmacology (medical),Pharmacology","Use of a Bioluminescent
            <i>Pseudomonas aeruginosa</i>
            Strain within an In Vitro Microbiological System, as a Model of Wound Infection, To Assess the Antimicrobial Efficacy of Wound Dressings by Monitoring Light Production",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aac.00302-07,51,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            A bioluminescent
            <jats:italic>Pseudomonas aeruginosa</jats:italic>
            was incorporated into an in vitro static diffusion method to determine whether light output could be used as a measure of wound dressing efficacy. A significant linear correlation was observed between viable counts and bioluminescence during exponential growth in planktonic culture (
            <jats:italic>r</jats:italic>
            <jats:sup>2</jats:sup>
            = 0.969). Exponential-phase cells were used to inoculate cellulose discs for integration into an in vitro wound model that incorporated a reservoir of serum. A significant linear correlation was found between bioluminescence (photon counts monitored by a low-light camera) and viable counts in this growth environment (
            <jats:italic>r</jats:italic>
            <jats:sup>2</jats:sup>
            = 0.982). Three antimicrobial wound dressings were applied to the surface of freshly prepared sample discs within the wound model, and the kill kinetics were codetermined by photon and viable counts. Quantifiable kill rates gave the same order of efficacy for the three wound dressings using both types of measurement, and a significant linear correlation was shown between photon and viable counts (
            <jats:italic>r</jats:italic>
            <jats:sup>2</jats:sup>
            = 0.873) within this killing environment. Under all defined conditions, a significant linear correlation between bioluminescence and viable counts was shown but the actual slope of the correlation was different, depending on the physicochemical environment of the cells. Hence, significantly more light per cell (
            <jats:italic>P</jats:italic>
            &lt; 0.0001) was produced when cells in discs were exposed to a killing environment compared to a growing environment. As long as defined conditions are employed, the resulting linear correlation enables the state of the system to be continually monitored without disturbance, allowing more immediate and accurate calculations of kill rates without the need for viable counting.
          </jats:p>",en,Antimicrob Agents Chemother,NA,https://journals.asm.org/doi/10.1128/aac.00302-07
93,10.1128/AAC.01244-06,Antimicrobial Agents and Chemotherapy,11/21/06,2/21/22,2007-02,10.1128/aac.01244-06,1/27/23,"0066-4804,1098-6596",2,2007-02,235,423-428,10.1128,American Society for Microbiology,0.99395615,Crossref,24,24,102,"Infectious Diseases,Pharmacology (medical),Pharmacology","Treatment and Outcomes of Infections by Methicillin-Resistant
            <i>Staphylococcus aureus</i>
            at an Ambulatory Clinic",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aac.01244-06,51,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Community-acquired methicillin-resistant
            <jats:italic>Staphylococcus aureus</jats:italic>
            (MRSA) skin and soft tissue infections (SSTI) have become increasingly common. This study's objectives were to describe the clinical spectrum of MRSA in a community health center and to determine whether the use of specific antimicrobials correlated with increased probability of clinical resolution of SSTI. A retrospective chart review of 399 sequential cases of culture-confirmed
            <jats:italic>S. aureus</jats:italic>
            SSTI, including 227 cases of MRSA SSTI, among outpatients at Fenway Community Health (Boston, MA) from 1998 to 2005 was done. The proportion of
            <jats:italic>S. aureus</jats:italic>
            SSTI due to MRSA increased significantly from 1998 to 2005 (
            <jats:italic>P</jats:italic>
            &lt; 0.0001). Resistance to clindamycin was common (48.2% of isolates). At the beginning of the study period, most patients with MRSA SSTI empirically treated with antibiotics received a beta-lactam, whereas by 2005, 76% received trimethoprim-sulfamethoxazole (TMP-SMX) (
            <jats:italic>P</jats:italic>
            &lt; 0.0001). Initially, few MRSA isolates were sensitive to the empirical antibiotic, but 77% were susceptible by 2005 (
            <jats:italic>P</jats:italic>
            &lt; 0.0001). A significantly higher percentage of patients with MRSA isolates had clinical resolution on the empirical antibiotic by 2005 (
            <jats:italic>P</jats:italic>
            = 0.037). Use of an empirical antibiotic to which the clinical isolate was sensitive was associated with increased odds of clinical resolution on empirical therapy (odds ratio = 5.91), controlling for incision and drainage and HIV status. MRSA now accounts for the majority of SSTI due to
            <jats:italic>S. aureus</jats:italic>
            at Fenway, and improved rates of clinical resolution on empirical antibiotic therapy have paralleled increasing use of empirical TMP-SMX for these infections. TMP-SMX appears to be an appropriate empirical antibiotic for suspected MRSA SSTI, especially where clindamycin resistance is common.
          </jats:p>",en,Antimicrob Agents Chemother,NA,https://journals.asm.org/doi/10.1128/aac.01244-06
100,10.1128/AAC.05665-11,Antimicrobial Agents and Chemotherapy,12/6/11,2/21/22,2012-02,10.1128/aac.05665-11,12/3/22,"0066-4804,1098-6596",2,2012-02,235,916-920,10.1128,American Society for Microbiology,0.9935484,Crossref,21,21,41,"Infectious Diseases,Pharmacology (medical),Pharmacology","Molecular Analyses of TEM Genes and Their Corresponding Penicillinase-Producing Neisseria gonorrhoeae Isolates in Bangkok, Thailand",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aac.05665-11,56,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Neisseria gonorrhoeae</jats:named-content>
            is a major public health problem globally, especially because the bacterium has developed resistance to most antimicrobials introduced for first-line treatment of gonorrhea. In the present study, 96
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">N. gonorrhoeae</jats:named-content>
            isolates with high-level resistance to penicillin from 121 clinical isolates in Thailand were examined to investigate changes related to their plasmid-mediated penicillin resistance and their molecular epidemiological relationships. A β-lactamase (TEM) gene variant,
            <jats:italic>bla</jats:italic>
            <jats:sub>TEM-135</jats:sub>
            , that may be a precursor in the transitional stage of a traditional
            <jats:italic>bla</jats:italic>
            <jats:sub>TEM-1</jats:sub>
            gene into an extended-spectrum β-lactamase (ESBL), possibly causing high resistance to all extended-spectrum cephalosporins in
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">N. gonorrhoeae</jats:named-content>
            , was identified. Clonal analysis using multilocus sequence typing (MLST) and
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">N. gonorrhoeae</jats:named-content>
            multiantigen sequence typing (NG-MAST) revealed the existence of a sexual network among patients from Japan and Thailand. Molecular analysis of the
            <jats:italic>bla</jats:italic>
            <jats:sub>TEM-135</jats:sub>
            gene showed that the emergence of this allele might not be a rare genetic event and that the allele has evolved in different plasmid backgrounds, which results possibly indicate that it is selected due to antimicrobial pressure. The presence of the
            <jats:italic>bla</jats:italic>
            <jats:sub>TEM-135</jats:sub>
            allele in the penicillinase-producing
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">N. gonorrhoeae</jats:named-content>
            population may call for monitoring for the possible emergence of ESBL-producing
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">N. gonorrhoeae</jats:named-content>
            in the future. This study identified a
            <jats:italic>bla</jats:italic>
            <jats:sub>TEM</jats:sub>
            variant (
            <jats:italic>bla</jats:italic>
            <jats:sub>TEM-135</jats:sub>
            ) that is a possible intermediate precursor for an ESBL, which warrants international awareness.
          </jats:p>",en,Antimicrob Agents Chemother,NA,https://journals.asm.org/doi/10.1128/aac.05665-11
107,10.1128/AEM.71.11.7139-7144.2005,Applied and Environmental Microbiology,11/3/05,2/23/22,2005-11,10.1128/aem.71.11.7139-7144.2005,2/19/23,"0099-2240,1098-5336",11,2005-11,235,7139-7144,10.1128,American Society for Microbiology,0.9992814,Crossref,38,38,106,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology","Metabolic Engineering of
            <i>Corynebacterium glutamicum</i>
            for
            <scp>l</scp>
            -Serine Production",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.71.11.7139-7144.2005,71,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Although
            <jats:sc>l</jats:sc>
            -serine proceeds in just three steps from the glycolytic intermediate 3-phosphoglycerate, and as much as 8% of the carbon assimilated from glucose is directed via
            <jats:sc>l</jats:sc>
            -serine formation, previous attempts to obtain a strain producing
            <jats:sc>l</jats:sc>
            -serine from glucose have not been successful. We functionally identified the genes
            <jats:italic>serC</jats:italic>
            and
            <jats:italic>serB</jats:italic>
            from
            <jats:italic>Corynebacterium glutamicum</jats:italic>
            , coding for phosphoserine aminotransferase and phosphoserine phosphatase, respectively. The overexpression of these genes, together with the third biosynthetic
            <jats:italic>serA</jats:italic>
            gene,
            <jats:italic>serA</jats:italic>
            <jats:sup>Δ</jats:sup>
            <jats:sup>197</jats:sup>
            , encoding an
            <jats:sc>l</jats:sc>
            -serine-insensitive 3-phosphoglycerate dehydrogenase, yielded only traces of
            <jats:sc>l</jats:sc>
            -serine, as did the overexpression of these genes in a strain with the
            <jats:sc>l</jats:sc>
            -serine dehydratase gene
            <jats:italic>sdaA</jats:italic>
            deleted. However, reduced expression of the serine hydroxymethyltransferase gene
            <jats:italic>glyA</jats:italic>
            , in combination with the overexpression of
            <jats:italic>serA</jats:italic>
            <jats:sup>Δ</jats:sup>
            <jats:sup>197</jats:sup>
            ,
            <jats:italic>serC</jats:italic>
            , and
            <jats:italic>serB</jats:italic>
            , resulted in a transient accumulation of up to 16 mM
            <jats:sc>l</jats:sc>
            -serine in the culture medium. When
            <jats:italic>sdaA</jats:italic>
            was also deleted, the resulting strain,
            <jats:italic>C. glutamicum</jats:italic>
            Δ
            <jats:italic>sdaA</jats:italic>
            ::pK18mob
            <jats:italic>glyA</jats:italic>
            ′(pEC-T18mob2
            <jats:italic>serA</jats:italic>
            <jats:sup>Δ197</jats:sup>
            <jats:italic>CB</jats:italic>
            ), accumulated up to 86 mM
            <jats:sc>l</jats:sc>
            -serine with a maximal specific productivity of 1.2 mmol h
            <jats:sup>−1</jats:sup>
             g (dry weight)
            <jats:sup>−1</jats:sup>
            . This illustrates a high rate of
            <jats:sc>l</jats:sc>
            -serine formation and also utilization in the
            <jats:italic>C. glutamicum</jats:italic>
            wild type. Therefore, metabolic engineering of
            <jats:sc>l</jats:sc>
            -serine production from glucose can be achieved only by addressing the apparent key position of this amino acid in the central metabolism.
          </jats:p>",en,Appl Environ Microbiol,NA,https://journals.asm.org/doi/10.1128/aem.71.11.7139-7144.2005
114,10.1128/AEM.02294-20,Applied and Environmental Microbiology,12/11/20,2/23/22,2/12/21,10.1128/aem.02294-20,11/4/22,"0099-2240,1098-5336",5,2/12/21,235,NA,10.1128,American Society for Microbiology,0.99889064,Crossref,80,80,3,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology",A Novel Antidipteran Bacillus thuringiensis Strain: Unusual Cry Toxin Genes in a Highly Dynamic Plasmid Environment,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.02294-20,87,"<jats:p>
            <jats:named-content content-type=""genus-species"">Bacillus thuringiensis</jats:named-content>
            , a soil entomopathogenic bacterium, is at the base of many sustainable eco-friendly bioinsecticides. Hence stems the need to continually characterize insecticidal toxins.
          </jats:p>",en,Appl Environ Microbiol,NA,https://journals.asm.org/doi/10.1128/aem.02294-20
124,10.1128/AEM.02119-06,Applied and Environmental Microbiology,1/27/07,2/23/22,3/15/07,10.1128/aem.02119-06,1/22/23,"0099-2240,1098-5336",6,3/15/07,235,1772-1782,10.1128,American Society for Microbiology,0.9984798,Crossref,56,56,60,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology","Cloning and Characterization of a Novel β-Transaminase from
            <i>Mesorhizobium</i>
            sp. Strain LUK: a New Biocatalyst for the Synthesis of Enantiomerically Pure β-Amino Acids",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.02119-06,73,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            A novel β-transaminase gene was cloned from
            <jats:italic>Mesorhizobium</jats:italic>
            sp. strain LUK. By using N-terminal sequence and an internal protein sequence, a digoxigenin-labeled probe was made for nonradioactive hybridization, and a 2.5-kb gene fragment was obtained by colony hybridization of a cosmid library. Through Southern blotting and sequence analysis of the selected cosmid clone, the structural gene of the enzyme (1,335 bp) was identified, which encodes a protein of 47,244 Da with a theoretical pI of 6.2. The deduced amino acid sequence of the β-transaminase showed the highest sequence similarity with glutamate-1-semialdehyde aminomutase of transaminase subgroup II. The β-transaminase showed higher activities toward
            <jats:sc>d</jats:sc>
            -β-aminocarboxylic acids such as 3-aminobutyric acid, 3-amino-5-methylhexanoic acid, and 3-amino-3-phenylpropionic acid. The β-transaminase has an unusually broad specificity for amino acceptors such as pyruvate and α-ketoglutarate/oxaloacetate. The enantioselectivity of the enzyme suggested that the recognition mode of β-aminocarboxylic acids in the active site is reversed relative to that of α-amino acids. After comparison of its primary structure with transaminase subgroup II enzymes, it was proposed that R43 interacts with the carboxylate group of the β-aminocarboxylic acids and the carboxylate group on the side chain of dicarboxylic α-keto acids such as α-ketoglutarate and oxaloacetate. R404 is another conserved residue, which interacts with the α-carboxylate group of the α-amino acids and α-keto acids. The β-transaminase was used for the asymmetric synthesis of enantiomerically pure β-aminocarboxylic acids. (3
            <jats:italic>S</jats:italic>
            )-Amino-3-phenylpropionic acid was produced from the ketocarboxylic acid ester substrate by coupled reaction with a lipase using 3-aminobutyric acid as amino donor.
          </jats:p>",en,Appl Environ Microbiol,NA,https://journals.asm.org/doi/10.1128/aem.02119-06
