file,da,nsd,paper,container.title,predicted,actual_da,actual_nsd,notes
Data/html/10.1128_154288102x14285807591144.html,NA,NA,https://journals.asm.org/doi/10.1128/154288102x14285807591144,Journal of Microbiology &amp; Biology Education,Data/predicted/10.1128_154288102x14285807591144.csv,NA,NA,
Data/html/10.1128_jmbe.v11.i1.147.html,NA,NA,https://journals.asm.org/doi/10.1128/jmbe.v11.i1.147,Journal of Microbiology &amp; Biology Education,Data/predicted/10.1128_jmbe.v11.i1.147.csv,NA,NA,
Data/html/10.1128_.74.11.5291-5299.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.74.11.5291-5299.2000,Journal of Virology,Data/predicted/10.1128_.74.11.5291-5299.2000.csv,NA,NA,
Data/html/10.1128_.68.11.6472-6477.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.68.11.6472-6477.2000,Infection and Immunity,Data/predicted/10.1128_.68.11.6472-6477.2000.csv,NA,NA,
Data/html/10.1128_193578810x14285820302166.html,NA,NA,https://journals.asm.org/doi/10.1128/193578810x14285820302166,Journal of Microbiology &amp; Biology Education,Data/predicted/10.1128_193578810x14285820302166.csv,NA,NA,
Data/html/10.1128_154288102x14285807622734.html,NA,NA,https://journals.asm.org/doi/10.1128/154288102x14285807622734,Journal of Microbiology &amp; Biology Education,Data/predicted/10.1128_154288102x14285807622734.csv,NA,NA,
Data/html/10.1128_.68.11.6147-6153.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.68.11.6147-6153.2000,Infection and Immunity,Data/predicted/10.1128_.68.11.6147-6153.2000.csv,NA,NA,
Data/html/10.1128_.74.11.5242-5249.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.74.11.5242-5249.2000,Journal of Virology,Data/predicted/10.1128_.74.11.5242-5249.2000.csv,NA,NA,
Data/html/10.1128_.38.6.2386-2388.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.38.6.2386-2388.2000,Journal of Clinical Microbiology,Data/predicted/10.1128_.38.6.2386-2388.2000.csv,NA,NA,
Data/html/10.1128_.38.6.2134-2140.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.38.6.2134-2140.2000,Journal of Clinical Microbiology,Data/predicted/10.1128_.38.6.2134-2140.2000.csv,NA,NA,
Data/html/10.1128_aac.47.6.2060-2061.2003.html,NA,NA,https://journals.asm.org/doi/10.1128/aac.47.6.2060-2061.2003,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.47.6.2060-2061.2003.csv,NA,NA,"table, not scraped"
Data/html/10.1128_.74.10.4448-4455.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.74.10.4448-4455.2000,Journal of Virology,Data/predicted/10.1128_.74.10.4448-4455.2000.csv,NA,NA,
Data/html/10.1128_.74.10.4679-4687.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.74.10.4679-4687.2000,Journal of Virology,Data/predicted/10.1128_.74.10.4679-4687.2000.csv,NA,NA,
Data/html/10.1128_jmbe.08.html,NA,NA,https://journals.asm.org/doi/10.1128/jmbe.08,Journal of Microbiology and Biology Education,Data/predicted/10.1128_jmbe.08.csv,NA,NA,
Data/html/10.1128_jmbe.v11i1.157.html,NA,NA,https://journals.asm.org/doi/10.1128/jmbe.v11i1.157,Journal of Microbiology &amp; Biology Education,Data/predicted/10.1128_jmbe.v11i1.157.csv,NA,NA,
Data/html/10.1128_.38.6.2450-2452.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.38.6.2450-2452.2000,Journal of Clinical Microbiology,Data/predicted/10.1128_.38.6.2450-2452.2000.csv,NA,NA,
Data/html/10.1128_jmbe08.html,NA,NA,https://journals.asm.org/doi/10.1128/jmbe08,Journal of Microbiology and Biology Education,Data/predicted/10.1128_jmbe08.csv,NA,NA,
Data/html/10.1128_jmbe.v19i3.1713.html,NA,NA,https://journals.asm.org/doi/10.1128/jmbe.v19i3.1713,Journal of Microbiology &amp; Biology Education,Data/predicted/10.1128_jmbe.v19i3.1713.csv,NA,NA,
Data/html/10.1128_jmbe.v11i1.145.html,NA,NA,https://journals.asm.org/doi/10.1128/jmbe.v11i1.145,Journal of Microbiology &amp; Biology Education,Data/predicted/10.1128_jmbe.v11i1.145.csv,NA,NA,
Data/html/10.1128_jcm.00548-09.html,NA,NA,https://journals.asm.org/doi/10.1128/jcm.00548-09,Journal of Clinical Microbiology,Data/predicted/10.1128_jcm.00548-09.csv,NA,NA,
Data/html/10.1128_aac.10.1128/acc.49.3.1269.2005.html,NA,NA,https://journals.asm.org/doi/10.1128/aac.10.1128/acc.49.3.1269.2005,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.10.1128.csv,NA,NA,
Data/html/10.1128_.74.11.5337-5346.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.74.11.5337-5346.2000,Journal of Virology,Data/predicted/10.1128_.74.11.5337-5346.2000.csv,NA,NA,
Data/html/10.1128_.38.6.2392-2394.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.38.6.2392-2394.2000,Journal of Clinical Microbiology,Data/predicted/10.1128_.38.6.2392-2394.2000.csv,NA,NA,
Data/html/10.1128_.74.11.5006-5015.2000.html,NA,NA,https://journals.asm.org/doi/10.1128/.74.11.5006-5015.2000,Journal of Virology,Data/predicted/10.1128_.74.11.5006-5015.2000.csv,NA,NA,
