journal_abrev,n,all_journal_data_rsq,no_1percent_rsq,five_years_rsq,ten_years_rsq
aac,3237,0.362319085832605,0.393825866602001,0.556388437576048,0.475900403755347
aem,8638,0.486194583894655,0.496415273036023,0.628360245103554,0.620360501208981
genomea,6578,0.0635849735295639,0.0635849735295639,NA,0.0320651816066534
iai,1854,0.389579266687836,0.394308695970922,0.5975354440957,0.6062387617054
jb,4867,0.315205459460152,0.322118564803231,0.576727760143517,0.557517344869476
jcm,4374,0.188227762938182,0.187792867719289,0.513880159738855,0.387977345491838
jvi,4583,0.417207766132634,0.41149223873983,0.526374672876706,0.516736363199128
mbio,2498,0.66802213736989,0.668456100305447,0.643767569239697,0.663294824617545
mra,5738,0.3712034701859,0.3712034701859,0.367998827539303,0.3712034701859
msphere,1041,0.652295307404962,0.650848265610729,0.650995253248733,0.652295307404962
msystems,1436,0.716763962999726,0.703994923231989,0.696206488245049,0.716763962999726
spectrum,2957,0.542474539967999,0.542474539967999,0.542474539967999,0.542474539967999
all_journals,47808,0.678118587466513,0.682941502192412,0.660167612671008,0.680127287338583
