paper,html_tag,link_address,link_text,link_status,hostname,domain,website_type,link_count,new_seq_data,availability,data_public_private,software_links,keywords,submitter,comments,data_available,...11,alternative.id,container.title,created,deposited,published.print,doi,indexed,issn,issue,issued,member,page,prefix,publisher,score,source,reference.count,references.count,is.referenced.by.count,subject,title,type,update.policy,url,volume,abstract,language,short.container.title,published.online,year.published,...42
https://journals.asm.org/doi/10.1128/aac.00277-21,"<a href=""%5C%22https://pubmlst.org/abaumannii/%5C%22"">https://pubmlst.org/abaumannii/</a>",https://pubmlst.org/abaumannii/,https://pubmlst.org/abaumannii/,200,pubmlst.org,org,org,2,Yes,Yes,Public,NA,"EMBL, ENA, ""accession number"", ""accession no."", BioProject, raw sequencing reads",acollens@umich.edu,NA,Data Available,7,10.1128/AAC.00277-21,Antimicrobial Agents and Chemotherapy,6/13/21,2/21/22,7/16/21,10.1128/aac.00277-21,7/4/22,"0066-4804,1098-6596",8,7/16/21,235,NA,10.1128,American Society for Microbiology,0.9997289,Crossref,17,17,1,"Infectious Diseases,Pharmacology (medical),Pharmacology","Diversity of Sequence Types and Impact of Fitness Cost among Carbapenem-Resistant Acinetobacter baumannii Isolates from Tripoli, Libya",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aac.00277-21,65,"<jats:p>
            We investigated the molecular epidemiology of 21 carbapenem-resistant
            <jats:named-content content-type=""genus-species"">Acinetobacter baumannii</jats:named-content>
            isolates from Libya and assessed their relative fitness. Core genome multilocus sequence typing (MLST) revealed five interhospital transmission clusters.
          </jats:p>",en,Antimicrob Agents Chemother,NA,2021,NA
https://journals.asm.org/doi/10.1128/aac.00277-21,"<a href=""%5C%22https://www-is.biotoul.fr/%5C%22"">https://www-is.biotoul.fr/</a>",https://www-is.biotoul.fr/,https://www-is.biotoul.fr/,200,is.biotoul.fr,fr,other,2,Yes,Yes,Public,NA,"EMBL, ENA, ""accession number"", ""accession no."", BioProject, raw sequencing reads",acollens@umich.edu,NA,Data Available,7,10.1128/AAC.00277-21,Antimicrobial Agents and Chemotherapy,6/13/21,2/21/22,7/16/21,10.1128/aac.00277-21,7/4/22,"0066-4804,1098-6596",8,7/16/21,235,NA,10.1128,American Society for Microbiology,0.9997289,Crossref,17,17,1,"Infectious Diseases,Pharmacology (medical),Pharmacology","Diversity of Sequence Types and Impact of Fitness Cost among Carbapenem-Resistant Acinetobacter baumannii Isolates from Tripoli, Libya",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aac.00277-21,65,"<jats:p>
            We investigated the molecular epidemiology of 21 carbapenem-resistant
            <jats:named-content content-type=""genus-species"">Acinetobacter baumannii</jats:named-content>
            isolates from Libya and assessed their relative fitness. Core genome multilocus sequence typing (MLST) revealed five interhospital transmission clusters.
          </jats:p>",en,Antimicrob Agents Chemother,NA,2021,NA
https://journals.asm.org/doi/10.1128/aem.06524-11,"<a href=""%5C%22https://github.com/ehec-outbreak-crowdsourced/BGI-data-analysis/wiki/MLST-and-serotyping-55989-in-silico%5C%22"">https://github.com/ehec-outbreak-crowdsourced/BGI-data-analysis/wiki/MLST-and-serotyping-55989-in-silico</a>",https://github.com/ehec-outbreak-crowdsourced/BGI-data-analysis/wiki/MLST-and-serotyping-55989-in-silico,https://github.com/ehec-outbreak-crowdsourced/BGI-data-analysis/wiki/MLST-and-serotyping-55989-in-silico,200,github.com,com,com,1,No,No,NA,GitHub,"sequence, sequencing, GenBank",masonar@umich.edu,"This is a short paper that compares two E. coli isolates that were previously isolated. There are no links to the two strains they are commenting on, but they may reference a main paper.",No Data Available,101,10.1128/AEM.06524-11,Applied and Environmental Microbiology,10/15/11,2/23/22,12/15/11,10.1128/aem.06524-11,6/7/22,"0099-2240,1098-5336",24,12/15/11,235,8784-8786,10.1128,American Society for Microbiology,0.9999913,Crossref,19,19,31,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology",Presence of Enterohemorrhagic Escherichia coli ST678/O104:H4 in France Prior to 2011,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.06524-11,77,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Two isolates of enterohemorrhagic
            <jats:named-content content-type=""genus-species"">Escherichia coli</jats:named-content>
            (EHEC) O104:H4 were isolated in France in 2004 and 2009. Both were characterized and compared to the strain which caused the German outbreak in 2011 and to other O104:H4 strains. This suggests that different O104:H4 EHEC strains were present several years prior to the 2011 outbreak.
          </jats:p>",en,Appl Environ Microbiol,NA,2011,NA
https://journals.asm.org/doi/10.1128/aem.03004-20,"<a href=""%5C%22https://www.ebi.ac.uk%5C%22"">https://www.ebi.ac.uk</a>",https://www.ebi.ac.uk,https://www.ebi.ac.uk,200,ebi.ac.uk,uk,other,1,Yes,No,NA,NA,"sequence, sequencing, NCBI, EMBL, JGI database",masonar@umich.edu,NA,No Data Available,136,10.1128/AEM.03004-20,Applied and Environmental Microbiology,5/13/21,2/23/22,7/13/21,10.1128/aem.03004-20,1/28/23,"0099-2240,1098-5336",15,7/13/21,235,NA,10.1128,American Society for Microbiology,0.99792314,Crossref,44,44,3,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology","<i>Sinorhizobium medicae</i>
            WSM419 Genes That Improve Symbiosis between
            <i>Sinorhizobium meliloti</i>
            Rm1021 and
            <i>Medicago truncatula</i>
            Jemalong A17 and in Other Symbiosis Systems",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.03004-20,87,<jats:p>The legume symbiosis with rhizobia is highly specific. Rhizobia that can nodulate and fix nitrogen on one legume species are often unable to associate with a different species.</jats:p>,en,Appl Environ Microbiol,NA,2021,NA
https://journals.asm.org/doi/10.1128/aem.00813-18,"<a href=""%5C%22https://drive.google.com/file/d/1UzxmFCMEkMAxNKCBjRRElsD9v1Bzz-ef/view?usp=sharing%5C%22"">https://drive.google.com/file/d/1UzxmFCMEkMAxNKCBjRRElsD9v1Bzz-ef/view?usp=sharing</a>",https://drive.google.com/file/d/1UzxmFCMEkMAxNKCBjRRElsD9v1Bzz-ef/view?usp=sharing,https://drive.google.com/file/d/1UzxmFCMEkMAxNKCBjRRElsD9v1Bzz-ef/view?usp=sharing,200,drive.google.com,com,com,1,No,No,NA,NA,NA,acollens@umich.edu,NA,No Data Available,141,10.1128/AEM.00813-18,Applied and Environmental Microbiology,6/27/18,2/23/22,2018-09,10.1128/aem.00813-18,2/5/23,"0099-2240,1098-5336",17,2018-09,235,NA,10.1128,American Society for Microbiology,0.9976058,Crossref,45,45,6,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology",Postharvest Supply Chain with Microbial Travelers: a Farm-to-Retail Microbial Simulation and Visualization Framework,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.00813-18,84,"<jats:p>Preventing the contamination of fresh produce with foodborne pathogens present in the environment during production and postharvest handling is an important food safety goal. Since studying foodborne pathogens in the environment is a complex and costly endeavor, computer simulation models can help to understand and visualize microorganism behavior resulting from supply chain activities. The postharvest supply chain with microbial travelers (PSCMT) model, presented here, provides a unique tool for postharvest supply chain simulations to evaluate microbial contamination. The tool was validated through modeling an observed tomato supply chain. Visualization of dynamic contamination levels from harvest to the supermarket and analysis of the model parameters highlighted critical points where intervention may prevent microbial levels sufficient to cause foodborne illness. The PSCMT model framework and simulation results support ongoing postharvest research and interventions to improve understanding and control of fresh produce contamination.</jats:p>",en,Appl Environ Microbiol,NA,2018,NA
https://journals.asm.org/doi/10.1128/aem.00626-21,"<a href=""%5C%22https://long-read-tools.org/%5C%22"">https://long-read-tools.org/</a>",https://long-read-tools.org/,https://long-read-tools.org/,200,long-read-tools.org,org,org,2,No,No,NA,NA,NA,jocolova@med.umich.edu,NA,No Data Available,113,10.1128/AEM.00626-21,Applied and Environmental Microbiology,6/16/21,2/23/22,8/11/21,10.1128/aem.00626-21,2/20/23,"0099-2240,1098-5336",17,8/11/21,235,NA,10.1128,American Society for Microbiology,0.99892086,Crossref,171,171,38,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology",Perspectives and Benefits of High-Throughput Long-Read Sequencing in Microbial Ecology,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.00626-21,87,"<jats:p>Short-read, high-throughput sequencing (HTS) methods have yielded numerous important insights into microbial ecology and function. Yet, in many instances short-read HTS techniques are suboptimal, for example, by providing insufficient phylogenetic resolution or low integrity of assembled genomes. Single-molecule and synthetic long-read (SLR) HTS methods have successfully ameliorated these limitations.</jats:p>",en,Appl Environ Microbiol,NA,2021,NA
https://journals.asm.org/doi/10.1128/aem.00626-21,"<a href=""%5C%22https://ftp.ncbi.nlm.nih.gov/genomes/refseq/%5C%22"">https://ftp.ncbi.nlm.nih.gov/genomes/refseq/</a>",https://ftp.ncbi.nlm.nih.gov/genomes/refseq/,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/,200,ftp.ncbi.nlm.nih.gov,gov,gov,2,No,No,NA,NA,NA,jocolova@med.umich.edu,NA,No Data Available,113,10.1128/AEM.00626-21,Applied and Environmental Microbiology,6/16/21,2/23/22,8/11/21,10.1128/aem.00626-21,2/20/23,"0099-2240,1098-5336",17,8/11/21,235,NA,10.1128,American Society for Microbiology,0.99892086,Crossref,171,171,38,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology",Perspectives and Benefits of High-Throughput Long-Read Sequencing in Microbial Ecology,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.00626-21,87,"<jats:p>Short-read, high-throughput sequencing (HTS) methods have yielded numerous important insights into microbial ecology and function. Yet, in many instances short-read HTS techniques are suboptimal, for example, by providing insufficient phylogenetic resolution or low integrity of assembled genomes. Single-molecule and synthetic long-read (SLR) HTS methods have successfully ameliorated these limitations.</jats:p>",en,Appl Environ Microbiol,NA,2021,NA
https://journals.asm.org/doi/10.1128/iai.00217-21,"<a href=""%5C%22https://mothur.org/wiki/miseq_sop/%5C%22"">https://mothur.org/wiki/miseq_sop/</a>",https://mothur.org/wiki/miseq_sop/,https://mothur.org/wiki/miseq_sop/,200,mothur.org,org,org,1,Yes,Yes,NA,NA,NA,jocolova@med.umich.edu,NA,Data Available,269,10.1128/IAI.00217-21,Infection and Immunity,7/6/21,3/5/22,8/16/21,10.1128/iai.00217-21,2/15/23,"0019-9567,1098-5522",9,8/16/21,235,NA,10.1128,American Society for Microbiology,0.9949563,Crossref,99,99,9,"Infectious Diseases,Immunology,Microbiology,Parasitology",Gut Microbiota and Development of Vibrio cholerae-Specific Long-Term Memory B Cells in Adults after Whole-Cell Killed Oral Cholera Vaccine,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/iai.00217-21,89,"<jats:p>
            Cholera is a diarrheal disease caused by
            <jats:named-content content-type=""genus-species"">Vibrio cholerae</jats:named-content>
            that continues to be a major public health concern in populations without access to safe water. IgG- and IgA-secreting memory B cells (MBC) targeting the
            <jats:named-content content-type=""genus-species"">V. cholerae</jats:named-content>
            O-specific polysaccharide (OSP) correlate with protection from infection in persons exposed to
            <jats:named-content content-type=""genus-species"">V. cholerae</jats:named-content>
            and may be a major determinant of long-term protection from cholera.
          </jats:p>",en,Infect Immun,NA,2021,NA
https://journals.asm.org/doi/10.1128/iai.00224-21,"<a href=""%5C%22https://services.healthtech.dtu.dk/service.php?TMHMM-2.0%5C%22"">https://services.healthtech.dtu.dk/service.php?TMHMM-2.0</a>",https://services.healthtech.dtu.dk/service.php?TMHMM-2.0,https://services.healthtech.dtu.dk/service.php?TMHMM-2.0,200,services.healthtech.dtu.dk,dk,other,4,No,No,NA,NA,NA,jocolova@med.umich.edu,NA,No Data Available,255,10.1128/IAI.00224-21,Infection and Immunity,8/9/21,3/5/22,10/15/21,10.1128/iai.00224-21,8/19/22,"0019-9567,1098-5522",11,10/15/21,235,NA,10.1128,American Society for Microbiology,0.9959058,Crossref,54,54,1,"Infectious Diseases,Immunology,Microbiology,Parasitology",Immunoreactive Protein Repertoires of Ehrlichia chaffeensis and E. canis Reveal the Dominance of Hypothetical Proteins and Conformation-Dependent Antibody Epitopes,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/iai.00224-21,89,"<jats:p>
            The immunomes of
            <jats:named-content content-type=""genus-species"">Ehrlichia chaffeensis</jats:named-content>
            and
            <jats:named-content content-type=""genus-species"">Ehrlichia canis</jats:named-content>
            have recently been revised to include immunodominant hypothetical proteins with conformational antibody epitopes. In this study, we examined 216
            <jats:named-content content-type=""genus-species"">E. chaffeensis</jats:named-content>
            and 190
            <jats:named-content content-type=""genus-species"">E. canis</jats:named-content>
            highly antigenic proteins according to ANTIGENpro and also performed a genome-wide hypothetical protein analysis (
            <jats:named-content content-type=""genus-species"">E. chaffeensis</jats:named-content>
            <jats:italic>n</jats:italic>
             = 104;
            <jats:named-content content-type=""genus-species"">E. canis</jats:named-content>
            <jats:italic>n</jats:italic>
             = 124) for immunoreactivity.
          </jats:p>",en,Infect Immun,NA,2021,NA
https://journals.asm.org/doi/10.1128/iai.00224-21,"<a href=""%5C%22https://services.healthtech.dtu.dk/service.php?SignalP-5.0%5C%22"">https://services.healthtech.dtu.dk/service.php?SignalP-5.0</a>",https://services.healthtech.dtu.dk/service.php?SignalP-5.0,https://services.healthtech.dtu.dk/service.php?SignalP-5.0,200,services.healthtech.dtu.dk,dk,other,4,No,No,NA,NA,NA,jocolova@med.umich.edu,NA,No Data Available,255,10.1128/IAI.00224-21,Infection and Immunity,8/9/21,3/5/22,10/15/21,10.1128/iai.00224-21,8/19/22,"0019-9567,1098-5522",11,10/15/21,235,NA,10.1128,American Society for Microbiology,0.9959058,Crossref,54,54,1,"Infectious Diseases,Immunology,Microbiology,Parasitology",Immunoreactive Protein Repertoires of Ehrlichia chaffeensis and E. canis Reveal the Dominance of Hypothetical Proteins and Conformation-Dependent Antibody Epitopes,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/iai.00224-21,89,"<jats:p>
            The immunomes of
            <jats:named-content content-type=""genus-species"">Ehrlichia chaffeensis</jats:named-content>
            and
            <jats:named-content content-type=""genus-species"">Ehrlichia canis</jats:named-content>
            have recently been revised to include immunodominant hypothetical proteins with conformational antibody epitopes. In this study, we examined 216
            <jats:named-content content-type=""genus-species"">E. chaffeensis</jats:named-content>
            and 190
            <jats:named-content content-type=""genus-species"">E. canis</jats:named-content>
            highly antigenic proteins according to ANTIGENpro and also performed a genome-wide hypothetical protein analysis (
            <jats:named-content content-type=""genus-species"">E. chaffeensis</jats:named-content>
            <jats:italic>n</jats:italic>
             = 104;
            <jats:named-content content-type=""genus-species"">E. canis</jats:named-content>
            <jats:italic>n</jats:italic>
             = 124) for immunoreactivity.
          </jats:p>",en,Infect Immun,NA,2021,NA
