alternative.id,paper,container.title,created,deposited,published.print,doi,indexed,issn,issue,issued,member,prefix,publisher,score,source,reference.count,references.count,is.referenced.by.count,title,type,update.policy,url,volume,abstract,language,short.container.title,assertion,author,funder,link,license,reference,published.online,page,update_to,unique_id,html_filename
10.1128/mSystems.00006-15,https://journals.asm.org/doi/10.1128/msystems.00006-15,mSystems,2015-12-18,2022-03-08,2016-02-23,10.1128/msystems.00006-15,2024-03-15,2379-5077,1,2016-02-23,235,10.1128,American Society for Microbiology,0,Crossref,34,34,9,"Clades of Photosynthetic Bacteria Belonging to the Genus
            <i>Rhodopseudomonas</i>
            Show Marked Diversity in Light-Harvesting Antenna Complex Gene Composition and Expression",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/msystems.00006-15,1,"<jats:p>
            <jats:named-content content-type=""genus-species"">Rhodopseudomonas palustris</jats:named-content>
            is a phototrophic purple nonsulfur bacterium that adapts its photosystem to allow growth at a range of light intensities. It does this by adjusting the amount and composition of peripheral light-harvesting (LH) antenna complexes that it synthesizes.
            <jats:italic>Rhodopseudomonas</jats:italic>
            strains are notable for containing numerous sets of light-harvesting genes. We determined the diversity of LH complexes and their transcript levels during growth under high and low light intensities in 20 sequenced genomes of strains related to the species
            <jats:named-content content-type=""genus-species"">Rhodopseudomonas palustris</jats:named-content>
            . The data obtained are a resource for investigators with interests as wide-ranging as the biophysics of photosynthesis, the ecology of phototrophic bacteria, and the use of photosynthetic bacteria for biotechnology applications.
          </jats:p>",en,mSystems,,,,,,,NA,NA,,10.1128_msystems.00006-15,Data/html/10.1128_msystems.00006-15
10.1128/mSystems.00010-15,https://journals.asm.org/doi/10.1128/msystems.00010-15,mSystems,2015-12-18,2022-03-08,2016-02-23,10.1128/msystems.00010-15,2023-04-27,2379-5077,1,2016-02-23,235,10.1128,American Society for Microbiology,0,Crossref,12,12,3,"cual-id: Globally Unique, Correctable, and Human-Friendly Sample Identifiers for Comparative Omics Studies",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/msystems.00010-15,1,"<jats:p>The adoption of identifiers that are globally unique, correctable, and easily handwritten or manually entered into a computer will be a major step forward for sample tracking in comparative omics studies. As the fields transition to more-centralized sample management, for example, across labs within an institution, across projects funded under a common program, or in systems designed to facilitate meta- and/or integrated analysis, sample identifiers generated with cual-id will not need to change; thus, costly and error-prone updating of data and metadata identifiers will be avoided. Further, using cual-id will ensure that transcription errors in sample identifiers do not require the discarding of otherwise-useful samples that may have been expensive to obtain. Finally, cual-id is simple to install and use and is free for all use. No centralized infrastructure is required to ensure global uniqueness, so it is feasible for any lab to get started using these identifiers within their existing infrastructure.</jats:p>",en,mSystems,,,,,,,NA,NA,,10.1128_msystems.00010-15,Data/html/10.1128_msystems.00010-15
10.1128/mSystems.00021-15,https://journals.asm.org/doi/10.1128/msystems.00021-15,mSystems,2016-02-05,2022-03-08,2016-02-23,10.1128/msystems.00021-15,2024-08-11,2379-5077,1,2016-02-23,235,10.1128,American Society for Microbiology,0,Crossref,73,73,37,A Prophage-Encoded Small RNA Controls Metabolism and Cell Division in Escherichia coli,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/msystems.00021-15,1,"<jats:p>
            sRNAs are ubiquitous and versatile regulators of bacterial gene expression. A number of well-characterized examples in
            <jats:named-content content-type=""genus-species"">E. coli</jats:named-content>
            are highly conserved and present in the
            <jats:named-content content-type=""genus-species"">E. coli</jats:named-content>
            core genome. In contrast, the sRNA DicF (identified over 20 years ago but remaining poorly characterized) is encoded by a gene carried on a defective prophage element in many
            <jats:named-content content-type=""genus-species"">E. coli</jats:named-content>
            genomes. Here, we characterize DicF in order to better understand how horizontally acquired sRNA regulators impact bacterial gene expression and physiology. Our data confirm the long-hypothesized DicF-mediated regulation of
            <jats:italic>ftsZ</jats:italic>
            , encoding the bacterial tubulin homolog required for cell division. We further uncover DicF-mediated posttranscriptional control of metabolic gene expression. Ectopic production of DicF is highly toxic to
            <jats:named-content content-type=""genus-species"">E. coli</jats:named-content>
            cells, but the toxicity is not attributable to DicF regulation of
            <jats:italic>ftsZ.</jats:italic>
            Further work is needed to reveal the biological roles of and benefits for the host conferred by DicF and other products encoded by defective prophages.
          </jats:p>",en,mSystems,,,,,,,NA,NA,,10.1128_msystems.00021-15,Data/html/10.1128_msystems.00021-15
10.1128/mSystems.00015-15,https://journals.asm.org/doi/10.1128/msystems.00015-15,mSystems,2015-12-18,2022-03-08,2016-02-23,10.1128/msystems.00015-15,2022-04-02,2379-5077,1,2016-02-23,235,10.1128,American Society for Microbiology,0,Crossref,0,0,0,"<i>mSystems</i>
            : Learning To Love Systems",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/msystems.00015-15,1,"<jats:p>
            We want this journal to be a forum for publication of research, tools, and data sets that are advancing our understanding of, or ability to investigate or interpret, microbiology systems. For example, I hope that
            <jats:italic>mSystems</jats:italic>
            will be a venue for research that elucidates the metabolic and cell-cell signaling mechanisms that underpin observed successional dynamics in microbial ecosystems.
          </jats:p>",en,mSystems,,,,,,,NA,NA,,10.1128_msystems.00015-15,Data/html/10.1128_msystems.00015-15
10.1128/mSystems.masthead.1-1,https://journals.asm.org/doi/10.1128/msystems.masthead.1-1,mSystems,2016-02-26,2018-07-25,2016-02-23,10.1128/msystems.masthead.1-1,2022-04-02,2379-5077,1,2016-02-23,235,10.1128,American Society for Microbiology,0,Crossref,0,0,0,Masthead,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/msystems.masthead.1-1,1,NA,en,mSystems,,,,,,,2016-02-25,masthead.1-1,,10.1128_msystems.masthead.1-1,Data/html/10.1128_msystems.masthead.1-1
10.1128/mSystems.00004-16,https://journals.asm.org/doi/10.1128/msystems.00004-16,mSystems,2016-04-15,2022-03-08,2016-02-23,10.1128/msystems.00004-16,2024-05-23,2379-5077,1,2016-02-23,235,10.1128,American Society for Microbiology,0,Crossref,27,27,21,Characterization of the Δ7 Mutant of Cupriavidus metallidurans with Deletions of Seven Secondary Metal Uptake Systems,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/msystems.00004-16,1,"<jats:p>
            Bacteria, including pathogenic strains, need to make use of the metal composition and speciation of their environment to fulfill the requirement of the cytoplasmic metal content and composition. This task is performed by the bacterial metal transportome, composed of uptake and efflux systems. Seven interacting secondary metal uptake systems are at the core of the metal transportome in
            <jats:italic>C. metallidurans</jats:italic>
            . This publication verifies that posttranscriptional events are responsible for activation of even more, yet-unknown, metal import systems in the 7-fold deletion mutant Δ7. Two P-type ATPases were identified as new members of the metal uptake transportome. This publication demonstrates the complexity of the metal transportome and the regulatory processes involved.
          </jats:p>",en,mSystems,,,,,,,NA,NA,,10.1128_msystems.00004-16,Data/html/10.1128_msystems.00004-16
10.1128/mSystems.00003-15,https://journals.asm.org/doi/10.1128/msystems.00003-15,mSystems,2016-02-05,2022-03-08,2016-02-23,10.1128/msystems.00003-15,2024-09-01,2379-5077,1,2016-02-23,235,10.1128,American Society for Microbiology,0,Crossref,43,43,134,Open-Source Sequence Clustering Methods Improve the State Of the Art,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/msystems.00003-15,1,"<jats:p>
            Massive collections of next-generation sequencing data call for fast, accurate, and easily accessible bioinformatics algorithms to perform sequence clustering. A comprehensive benchmark is presented, including open-source tools and the popular USEARCH suite. Simulated, mock, and environmental communities were used to analyze sensitivity, selectivity, species diversity (alpha and beta), and taxonomic composition. The results demonstrate that recent clustering algorithms can significantly improve accuracy and preserve estimated diversity without the application of aggressive filtering. Moreover, these tools are all open source, apply multiple levels of multithreading, and scale to the demands of modern next-generation sequencing data, which is essential for the analysis of massive multidisciplinary studies such as the Earth Microbiome Project (EMP) (J. A. Gilbert, J. K. Jansson, and R. Knight, BMC Biol 12:69, 2014,
            <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.1186/s12915-014-0069-1"">http://dx.doi.org/10.1186/s12915-014-0069-1</jats:ext-link>
            ).
          </jats:p>",en,mSystems,,,,,,,NA,NA,,10.1128_msystems.00003-15,Data/html/10.1128_msystems.00003-15
10.1128/mSystems.00013-15,https://journals.asm.org/doi/10.1128/msystems.00013-15,mSystems,2016-01-13,2022-03-08,2016-02-23,10.1128/msystems.00013-15,2024-08-25,2379-5077,1,2016-02-23,235,10.1128,American Society for Microbiology,0,Crossref,62,62,157,Metabolic Model-Based Integration of Microbiome Taxonomic and Metabolomic Profiles Elucidates Mechanistic Links between Ecological and Metabolic Variation,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/msystems.00013-15,1,"<jats:p>Studies characterizing both the taxonomic composition and metabolic profile of various microbial communities are becoming increasingly common, yet new computational methods are needed to integrate and interpret these data in terms of known biological mechanisms. Here, we introduce an analytical framework to link species composition and metabolite measurements, using a simple model to predict the effects of community ecology on metabolite concentrations and evaluating whether these predictions agree with measured metabolomic profiles. We find that a surprisingly large proportion of metabolite variation in the vaginal microbiome can be predicted based on species composition (including dramatic shifts associated with disease), identify putative mechanisms underlying these predictions, and evaluate the roles of individual bacterial species and genes. Analysis of gut microbiome data using this framework recovers similar community metabolic trends. This framework lays the foundation for model-based multi-omic integrative studies, ultimately improving our understanding of microbial community metabolism.</jats:p>",en,mSystems,,,,,,,NA,NA,,10.1128_msystems.00013-15,Data/html/10.1128_msystems.00013-15
10.1128/mSystems.00025-15,https://journals.asm.org/doi/10.1128/msystems.00025-15,mSystems,2016-01-13,2022-03-08,2016-02-23,10.1128/msystems.00025-15,2024-08-29,2379-5077,1,2016-02-23,235,10.1128,American Society for Microbiology,0,Crossref,68,68,106,ADAGE-Based Integration of Publicly Available Pseudomonas aeruginosa Gene Expression Data with Denoising Autoencoders Illuminates Microbe-Host Interactions,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/msystems.00025-15,1,"<jats:p>
            The quantity and breadth of genome-scale data sets that examine RNA expression in diverse bacterial and eukaryotic species are increasing more rapidly than for curated knowledge. Our ADAGE method integrates such data without requiring gene function, gene pathway, or experiment labeling, making practical its application to any large gene expression compendium. We built a
            <jats:named-content content-type=""genus-species"">Pseudomonas aeruginosa</jats:named-content>
            ADAGE model from a diverse set of publicly available experiments without any prespecified biological knowledge, and this model was accurate and predictive. We provide ADAGE results for the complete
            <jats:named-content content-type=""genus-species"">P. aeruginosa</jats:named-content>
            GeneChip compendium for use by researchers studying
            <jats:named-content content-type=""genus-species"">P. aeruginosa</jats:named-content>
            and source code that facilitates ADAGE’s application to other species and data types.
          </jats:p>",en,mSystems,,,,,,,NA,NA,,10.1128_msystems.00025-15,Data/html/10.1128_msystems.00025-15
10.1128/mSystems.00009-15,https://journals.asm.org/doi/10.1128/msystems.00009-15,mSystems,2015-12-18,2022-03-08,2016-02-23,10.1128/msystems.00009-15,2024-09-20,2379-5077,1,2016-02-23,235,10.1128,American Society for Microbiology,0,Crossref,18,18,1220,Improved Bacterial 16S rRNA Gene (V4 and V4-5) and Fungal Internal Transcribed Spacer Marker Gene Primers for Microbial Community Surveys,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/msystems.00009-15,1,"<jats:p>We continue to uncover a wealth of information connecting microbes in important ways to human and environmental ecology. As our scientific knowledge and technical abilities improve, the tools used for microbiome surveys can be modified to improve the accuracy of our techniques, ensuring that we can continue to identify groundbreaking connections between microbes and the ecosystems they populate, from ice caps to the human body. It is important to confirm that modifications to these tools do not cause new, detrimental biases that would inhibit the field rather than continue to move it forward. We therefore demonstrated that two recently modified primer pairs that target taxonomically discriminatory regions of bacterial and fungal genomic DNA do not introduce new biases when used on a variety of sample types, from soil to human skin. This confirms the utility of these primers for maintaining currently recommended microbiome research techniques as the state of the art.</jats:p>",en,mSystems,,,,,,,NA,NA,,10.1128_msystems.00009-15,Data/html/10.1128_msystems.00009-15
